property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,floor_category,luxury_category,price
flat,sector 60,3,4,3+,Relatively New,2045.0,1,0,unfurnished,Mid-Rise,Luxury,2.85
flat,sector 37c,2,2,3,Under Construction,756.0,0,0,semifurnished,Low-Rise,Luxury,0.4
flat,sector 85,2,2,3,Relatively New,1300.0,0,0,unfurnished,Mid-Rise,Luxury,1.2
flat,sector 70a,3,4,3,Relatively New,2350.0,1,0,semifurnished,High-Rise,Standard,2.8
flat,sector 92,3,3,2,Relatively New,1068.0,0,0,semifurnished,Low-Rise,Standard,0.5
flat,sohna road,2,2,2,Relatively New,720.0,0,0,semifurnished,Low-Rise,Standard,0.39
house,sector 45,5,8,3+,Relatively New,4500.0,1,1,furnished,Low-Rise,Luxury,17.0
flat,sohna road,1,1,1,New Property,474.042156,0,0,semifurnished,Low-Rise,Premium,0.2
house,new sector 2,3,2,2,Old Property,120.0,0,0,semifurnished,Low-Rise,Standard,1.0
flat,sector 106,3,4,3+,Relatively New,1186.0,1,0,semifurnished,Mid-Rise,Luxury,1.25
flat,sector 77,4,4,3+,Relatively New,1800.0,1,0,furnished,Low-Rise,Standard,1.55
flat,sector 83,2,2,2,Relatively New,950.0,0,0,unfurnished,Low-Rise,Luxury,0.65
house,sector 33,5,6,3,New Property,4125.0,1,0,semifurnished,Low-Rise,Premium,11.0
flat,sohna road,2,2,2,Relatively New,939.0,0,0,semifurnished,Low-Rise,Luxury,0.54
flat,sector 109,3,3,3,Relatively New,1579.0,0,0,semifurnished,Mid-Rise,Luxury,1.68
flat,sector 92,3,2,2,Relatively New,1261.0,0,0,semifurnished,Mid-Rise,Standard,0.85
flat,sector 63,4,4,3,New Property,3956.0,0,0,semifurnished,Mid-Rise,Premium,7.52
flat,sector 28,2,2,2,Relatively New,1222.0,0,0,semifurnished,Low-Rise,Premium,1.6
flat,sector 79,2,2,3,Relatively New,1611.0,0,0,unfurnished,Mid-Rise,Luxury,0.95
house,sector 24,4,4,3,Old Property,1070.0,0,0,semifurnished,Low-Rise,Standard,3.25
flat,sector 50,3,3,3,Moderately Old,2000.0,0,1,unfurnished,Mid-Rise,Luxury,2.35
flat,sector 71,3,4,2,Relatively New,1577.0,1,0,furnished,Mid-Rise,Luxury,1.25
house,sector 57,9,9,3+,New Property,2660.0,1,0,unfurnished,Low-Rise,Premium,6.25
house,sector 9,9,9,3,Moderately Old,2628.0,0,0,unfurnished,Low-Rise,Premium,3.4
flat,sector 85,2,3,3+,Relatively New,1576.0,0,1,semifurnished,Low-Rise,Luxury,1.04
house,sector 111,5,5,3+,Relatively New,8000.0,1,0,semifurnished,Low-Rise,Luxury,9.0
flat,sector 65,3,3,3,Relatively New,1262.0,1,0,furnished,Mid-Rise,Luxury,1.73
house,sector 56,5,6,3+,Relatively New,1512.0,0,0,unfurnished,Low-Rise,Standard,3.25
flat,sector 86,2,2,1,New Property,1231.0,0,0,semifurnished,Mid-Rise,Premium,0.78
flat,sector 37d,3,3,3+,Under Construction,1600.0,0,0,semifurnished,Low-Rise,Premium,1.35
flat,sector 104,3,3,3+,New Property,2544.0,1,0,semifurnished,Low-Rise,Premium,1.95
house,sector 112,5,5,3,Relatively New,7450.0,1,0,semifurnished,Low-Rise,Standard,9.5
flat,sector 108,2,3,3,Relatively New,978.23,1,0,semifurnished,Low-Rise,Premium,0.9
flat,sector 83,2,2,3,Relatively New,1630.0,0,0,semifurnished,Low-Rise,Standard,1.19
flat,sector 90,3,3,3+,Relatively New,1747.0,1,0,semifurnished,Mid-Rise,Premium,1.15
flat,sector 81,3,4,3+,New Property,2407.0,1,0,unfurnished,Mid-Rise,Luxury,2.4
flat,sector 70,2,2,2,Under Construction,991.0,0,0,semifurnished,Mid-Rise,Standard,0.53
house,sector 109,4,4,3+,Relatively New,5400.0,1,0,semifurnished,Low-Rise,Premium,5.7
flat,sector 85,2,2,3+,Relatively New,1380.0,0,1,semifurnished,Low-Rise,Luxury,1.2
flat,sector 102,3,3,3,Relatively New,1852.0,0,0,semifurnished,Mid-Rise,Premium,2.12
flat,sector 69,4,4,2,Relatively New,1819.0,0,0,unfurnished,Mid-Rise,Luxury,1.8
flat,sector 90,3,3,3+,Relatively New,1645.0,0,0,unfurnished,High-Rise,Luxury,1.15
flat,sector 67,3,4,3,New Property,2016.0,1,0,unfurnished,Mid-Rise,Luxury,3.32
flat,manesar,3,2,3+,Moderately Old,1696.0,0,0,semifurnished,Mid-Rise,Standard,0.65
flat,sector 70,3,4,3,Relatively New,1765.0,1,1,semifurnished,Mid-Rise,Premium,1.65
flat,sector 69,3,3,2,Relatively New,1428.0,0,0,semifurnished,Mid-Rise,Premium,1.55
flat,sector 83,2,2,2,Relatively New,1199.0,0,0,unfurnished,Low-Rise,Standard,0.75
flat,sohna road,2,2,2,Under Construction,995.0,0,0,semifurnished,Mid-Rise,Standard,0.48
house,sector 50,4,4,3+,Old Property,2160.0,1,0,semifurnished,Low-Rise,Luxury,6.8
flat,sector 65,3,3,3,New Property,2282.0,1,0,unfurnished,Mid-Rise,Luxury,3.5
flat,sector 59,3,1,0,Under Construction,2295.0,0,0,semifurnished,Low-Rise,Standard,3.9
house,sector 70a,4,4,3+,Relatively New,6000.0,1,0,semifurnished,Low-Rise,Luxury,4.0
flat,sector 25,4,4,3,Old Property,2333.0,1,0,unfurnished,High-Rise,Standard,3.7
house,sector 50,5,5,3+,Moderately Old,3240.0,0,0,semifurnished,Low-Rise,Standard,11.29
flat,sector 70,3,5,3,Relatively New,1527.0,1,0,semifurnished,Mid-Rise,Luxury,1.55
flat,sector 15,4,3,3,Old Property,1444.0,0,0,unfurnished,Low-Rise,Premium,1.4
flat,sector 48,4,5,3,Moderately Old,2167.0,0,0,unfurnished,Low-Rise,Standard,2.5
flat,sector 9a,4,4,3+,Old Property,2580.0,0,0,semifurnished,Mid-Rise,Standard,1.3
flat,sector 71,3,3,3,Moderately Old,1466.0,0,0,semifurnished,Low-Rise,Premium,0.98
flat,sector 79,2,2,3+,Relatively New,1172.0,0,0,semifurnished,High-Rise,Standard,0.78
flat,sector 37c,2,2,3+,Relatively New,1430.0,0,0,semifurnished,Mid-Rise,Premium,0.75
flat,sector 69,3,3,1,Relatively New,1291.0,0,0,semifurnished,Mid-Rise,Premium,1.36
flat,sector 83,2,2,2,Moderately Old,1100.0,0,0,unfurnished,High-Rise,Luxury,0.85
flat,sector 107,4,5,3+,Relatively New,2505.0,1,0,semifurnished,Mid-Rise,Premium,1.7
flat,sector 95,1,1,1,Relatively New,407.0,0,0,semifurnished,Mid-Rise,Premium,0.2
flat,sohna road,2,2,1,Relatively New,743.0,0,0,semifurnished,Mid-Rise,Standard,0.28
flat,sector 81,3,4,3+,Relatively New,1760.0,1,0,furnished,Mid-Rise,Luxury,2.34
flat,sector 78,3,3,3,Moderately Old,1969.0,1,0,semifurnished,Mid-Rise,Standard,1.15
house,sector 25,4,4,2,Old Property,3618.0,1,0,unfurnished,Low-Rise,Premium,10.5
house,sector 2,8,6,3+,Moderately Old,3240.0,1,1,semifurnished,Low-Rise,Standard,5.6
flat,sector 56,3,4,3+,Old Property,2200.0,0,0,unfurnished,Mid-Rise,Luxury,2.1
flat,sector 109,3,4,3,Relatively New,2339.0,1,0,semifurnished,Mid-Rise,Luxury,2.25
house,sector 43,1,1,0,Old Property,1242.0,0,0,semifurnished,Low-Rise,Standard,3.35
flat,sector 106,4,6,3+,Relatively New,1535.0,1,0,semifurnished,Mid-Rise,Luxury,1.4
flat,sector 90,2,2,3,New Property,1224.0,0,0,semifurnished,Mid-Rise,Premium,0.7
flat,sector 83,3,3,2,Relatively New,1570.0,0,0,unfurnished,Mid-Rise,Premium,1.4
flat,sector 70a,3,3,3,Relatively New,1788.0,1,0,semifurnished,Mid-Rise,Standard,1.51
flat,sector 108,3,3,3,Relatively New,2072.0,0,0,semifurnished,Mid-Rise,Premium,3.25
flat,sector 91,4,4,3,Relatively New,2465.0,1,0,semifurnished,Mid-Rise,Luxury,1.9
flat,sector 92,3,3,3,Relatively New,1792.0,1,0,unfurnished,High-Rise,Premium,1.55
flat,sector 85,4,4,3,Relatively New,2600.0,1,0,semifurnished,Mid-Rise,Standard,2.09
flat,sector 90,2,2,3,New Property,1176.0,0,0,semifurnished,Mid-Rise,Standard,0.7
flat,sector 84,4,4,3,Relatively New,3222.0,1,0,semifurnished,Mid-Rise,Standard,2.2
flat,sector 84,4,4,3+,Relatively New,1896.0,1,0,semifurnished,Mid-Rise,Premium,1.02
house,sector 33,3,2,0,Relatively New,900.0,0,0,semifurnished,Low-Rise,Standard,0.85
flat,sector 84,3,3,3+,Moderately Old,1710.0,0,0,unfurnished,Mid-Rise,Luxury,1.1
flat,sector 67,3,4,3+,Relatively New,2219.0,1,0,unfurnished,Mid-Rise,Luxury,3.15
flat,sector 102,3,3,3,Relatively New,1315.0,1,0,semifurnished,Mid-Rise,Luxury,1.35
flat,gwal pahari,5,6,3+,Relatively New,9050.0,1,0,semifurnished,High-Rise,Standard,7.5
flat,sector 82,3,4,2,Relatively New,1620.0,1,0,unfurnished,Mid-Rise,Luxury,1.15
flat,sohna road,2,2,3+,Relatively New,1319.0,0,0,unfurnished,High-Rise,Standard,1.1
flat,sector 109,3,4,3+,Relatively New,1797.0,1,0,semifurnished,Low-Rise,Premium,1.45
flat,sector 63a,2,3,3+,Under Construction,997.0,0,0,semifurnished,Low-Rise,Premium,2.2
flat,sector 90,3,3,3,Relatively New,1640.0,0,0,semifurnished,Mid-Rise,Luxury,1.25
flat,sector 79,3,3,3+,Relatively New,1213.0,0,0,unfurnished,Low-Rise,Luxury,1.3
flat,sector 65,4,4,3+,Relatively New,2194.0,1,0,furnished,Low-Rise,Luxury,2.77
house,sector 50,3,3,2,Old Property,3231.0,1,0,unfurnished,Low-Rise,Luxury,8.45
flat,sector 102,3,3,3,Relatively New,1493.0,1,0,unfurnished,Mid-Rise,Standard,1.39
house,sector 24,8,11,3+,Old Property,5000.0,1,0,unfurnished,Low-Rise,Standard,11.0
flat,sector 99a,3,3,0,New Property,1997.0,0,0,semifurnished,High-Rise,Standard,1.3
flat,sector 109,3,4,3+,Relatively New,1797.0,1,0,semifurnished,Mid-Rise,Luxury,1.75
flat,sector 2,2,2,3,Moderately Old,1281.0,0,0,semifurnished,Mid-Rise,Premium,1.02
flat,sector 113,3,3,3,New Property,2281.0,0,0,semifurnished,Mid-Rise,Standard,3.21
flat,sector 31,4,5,3+,Relatively New,2663.0,1,0,semifurnished,Low-Rise,Premium,5.5
flat,sector 70,3,2,2,Moderately Old,1078.0,0,0,semifurnished,Low-Rise,Premium,1.0
flat,sector 66,3,4,2,Relatively New,1850.0,1,0,unfurnished,Mid-Rise,Luxury,1.9
house,sector 2,3,3,2,Old Property,1557.0,0,0,semifurnished,Low-Rise,Standard,2.55
flat,sector 37c,3,3,3,Relatively New,1581.0,0,0,semifurnished,Low-Rise,Standard,1.27
flat,sector 43,4,4,2,Under Construction,2667.0,1,0,unfurnished,Low-Rise,Standard,6.0
house,sector 25,9,9,3+,Old Property,2844.0,0,0,semifurnished,Low-Rise,Premium,9.5
flat,sector 81,3,4,3+,Relatively New,2090.0,1,0,furnished,Mid-Rise,Luxury,2.25
flat,sector 84,2,2,3+,Relatively New,1222.0,0,0,semifurnished,Mid-Rise,Premium,0.69
house,sector 56,2,2,2,Moderately Old,1449.0,0,0,semifurnished,Low-Rise,Standard,2.95
flat,sector 2,3,3,3+,Moderately Old,1611.0,0,0,semifurnished,Mid-Rise,Premium,1.4
flat,sector 28,4,5,3+,Moderately Old,3406.0,1,0,unfurnished,Mid-Rise,Standard,5.5
flat,sector 37c,3,3,3+,Relatively New,1834.0,1,0,semifurnished,Low-Rise,Standard,1.43
flat,sector 90,3,3,3+,Relatively New,1581.0,0,0,semifurnished,High-Rise,Premium,1.21
flat,sector 99a,2,2,1,Relatively New,611.0,0,0,semifurnished,Mid-Rise,Premium,0.26
house,sector 24,8,5,3+,Old Property,540.0,0,0,semifurnished,Low-Rise,Standard,1.6
house,sector 4,3,3,2,Old Property,2250.0,0,0,semifurnished,Low-Rise,Standard,3.3
flat,sector 83,3,3,3,Relatively New,1400.0,1,0,unfurnished,Low-Rise,Luxury,1.55
flat,sector 33,3,2,3+,Under Construction,1484.0,0,0,semifurnished,Mid-Rise,Standard,1.35
flat,sector 77,2,2,2,Relatively New,1163.0,0,0,unfurnished,Mid-Rise,Standard,0.8
house,sector 109,5,5,3+,Relatively New,6228.0,1,1,semifurnished,Low-Rise,Luxury,6.0
flat,sector 103,1,2,2,New Property,402.0,0,0,semifurnished,Mid-Rise,Standard,0.3
flat,sector 85,4,4,3,Relatively New,2600.0,1,0,semifurnished,Mid-Rise,Standard,2.1
house,sector 21,3,3,2,Old Property,972.0,0,0,semifurnished,Low-Rise,Standard,0.6
house,sector 28,2,6,3,Relatively New,1350.0,0,0,semifurnished,Low-Rise,Standard,3.5
flat,sector 85,2,2,3,Relatively New,1600.0,0,0,semifurnished,Mid-Rise,Luxury,1.1
flat,sohna road,2,2,1,New Property,644.0,0,0,semifurnished,Mid-Rise,Standard,0.32
house,sector 3 phase 3 extension,6,1,0,New Property,3000.0,0,0,semifurnished,Low-Rise,Standard,1.5
flat,sector 85,2,3,3,Relatively New,1550.0,0,0,semifurnished,Mid-Rise,Standard,1.17
flat,sector 81,3,3,2,Relatively New,1800.0,1,0,furnished,Mid-Rise,Luxury,2.4
flat,sector 9a,3,3,2,Moderately Old,1403.0,0,0,semifurnished,Mid-Rise,Standard,0.95
flat,manesar,3,3,3+,Moderately Old,2070.0,1,0,semifurnished,Mid-Rise,Standard,0.9
flat,sector 77,3,3,3+,New Property,1451.0,0,1,unfurnished,Mid-Rise,Premium,1.35
flat,sector 65,2,2,2,New Property,1186.0,0,0,semifurnished,High-Rise,Luxury,2.1
flat,sector 92,4,5,3+,Relatively New,1805.0,1,0,semifurnished,Low-Rise,Standard,0.9
flat,sohna road,2,2,3,New Property,661.0,0,0,semifurnished,Mid-Rise,Standard,0.4
flat,sector 70,3,5,3,Relatively New,1527.0,1,0,semifurnished,Mid-Rise,Luxury,1.6
flat,sector 50,3,3,3+,Moderately Old,1790.0,0,0,unfurnished,Mid-Rise,Luxury,1.88
flat,sohna road,2,2,1,New Property,615.0,0,0,semifurnished,Low-Rise,Standard,0.4
flat,sector 81,3,3,3+,New Property,1929.0,1,0,furnished,Mid-Rise,Luxury,2.25
flat,sector 109,3,3,3+,Moderately Old,2303.0,1,0,semifurnished,Mid-Rise,Luxury,1.68
flat,sector 103,2,2,0,Relatively New,750.0,0,0,semifurnished,Mid-Rise,Standard,0.5
flat,sector 3 phase 2,3,2,1,Relatively New,1000.0,0,0,semifurnished,Low-Rise,Standard,0.4
flat,sector 82,2,2,2,Relatively New,1299.0,0,0,unfurnished,Mid-Rise,Luxury,0.94
flat,sector 104,3,4,3+,New Property,2544.0,1,0,semifurnished,Mid-Rise,Luxury,2.3
flat,sector 109,3,4,3+,Relatively New,1797.0,1,0,semifurnished,Low-Rise,Standard,1.5
flat,sector 78,3,3,3+,Old Property,2176.0,1,0,semifurnished,Mid-Rise,Premium,1.1
flat,sector 108,3,3,2,Relatively New,1500.0,1,0,semifurnished,Low-Rise,Premium,0.85
flat,sector 43,3,3,2,Old Property,1527.0,0,1,unfurnished,Low-Rise,Luxury,2.35
house,sector 4,3,3,2,Relatively New,1350.0,0,0,semifurnished,Low-Rise,Standard,0.55
flat,sector 65,2,2,2,Relatively New,812.0,0,0,semifurnished,Mid-Rise,Premium,1.3
house,sector 12,2,4,2,Relatively New,846.0,0,0,unfurnished,Low-Rise,Standard,1.2
house,sector 33,2,2,3,Relatively New,1400.0,0,0,unfurnished,Low-Rise,Premium,1.15
flat,sector 48,3,5,3+,Moderately Old,3200.0,1,0,unfurnished,Mid-Rise,Standard,6.25
flat,sector 69,4,5,3+,Relatively New,2172.0,1,0,unfurnished,Mid-Rise,Luxury,1.92
flat,sector 111,4,6,3+,Relatively New,4072.0,1,0,unfurnished,Mid-Rise,Luxury,5.25
flat,sector 65,4,4,3,Relatively New,1975.0,1,0,unfurnished,Low-Rise,Luxury,2.75
flat,sector 86,2,2,2,Relatively New,668.0,0,0,unfurnished,Mid-Rise,Premium,0.44
house,sector 49,5,4,2,New Property,4500.0,0,0,semifurnished,Low-Rise,Standard,6.75
flat,sector 95,1,1,1,New Property,308.0,0,0,semifurnished,Low-Rise,Standard,0.22
flat,sector 79,2,2,3,Relatively New,1012.0,0,0,semifurnished,Mid-Rise,Standard,0.96
flat,sector 79,3,4,3+,New Property,1946.0,1,0,semifurnished,Mid-Rise,Standard,1.85
flat,sector 69,4,4,1,Relatively New,1783.0,0,0,semifurnished,Mid-Rise,Premium,1.75
house,sector 26,4,4,3+,Old Property,2700.0,1,1,semifurnished,Low-Rise,Premium,8.9
house,sector 104,4,3,1,Moderately Old,1170.0,0,0,semifurnished,Low-Rise,Standard,0.6
house,sector 13,3,6,2,Old Property,115.0,0,0,semifurnished,Low-Rise,Standard,1.25
house,sector 91,4,4,3,New Property,2430.0,0,0,unfurnished,Low-Rise,Standard,3.6
house,sector 55,3,3,2,New Property,1620.0,1,0,unfurnished,Low-Rise,Premium,1.64
house,sector 28,4,3,3,Old Property,1800.0,0,0,unfurnished,Low-Rise,Standard,5.5
flat,sector 65,3,3,3+,New Property,1556.0,0,1,unfurnished,Low-Rise,Luxury,1.95
flat,sector 102,3,4,3+,Relatively New,1757.0,1,0,semifurnished,High-Rise,Luxury,1.9
flat,sector 104,3,4,3+,Relatively New,2000.0,1,0,unfurnished,Mid-Rise,Premium,1.05
flat,sector 37d,2,2,3,New Property,625.0,0,0,semifurnished,Mid-Rise,Standard,0.6
flat,sector 85,2,2,3,New Property,1550.0,0,0,semifurnished,High-Rise,Luxury,1.04
flat,sector 66,2,2,2,Relatively New,1048.0,0,0,semifurnished,Mid-Rise,Standard,1.32
flat,sector 70a,2,2,3,New Property,1142.0,0,0,semifurnished,High-Rise,Premium,1.65
house,sector 67,6,7,3+,Moderately Old,3600.0,1,1,unfurnished,Low-Rise,Luxury,8.0
flat,sector 62,2,2,2,New Property,1200.0,0,0,furnished,Mid-Rise,Luxury,2.45
